,RE,time,energy_dash_10K,target_dash_10K,adoption_10K,energy_dash_30K,target_dash_30K,adoption_30K,energy_dash_100K,target_dash_100K,adoption_100K,energy_10K,target_10K,E_target_10K,p_10K,energy_30K,target_30K,E_target_30K,p_30K,energy_100K,target_100K,E_target_100K,p_100K,RE_0,RE_1
18,False,10.625929832458496,0.016605646634811677,307.9461364746094,False,0.020164759183639802,309.2660827636719,False,0.021770746732467927,256.5060729980469,False,0.004135401273483552,316.1074523925781,330.9695611251028,0.5405179991384186,0.009581835294479646,357.3949890136719,314.19535104851974,0.5405179991384186,0.016469271207565583,294.0420227050781,288.9141331722862,0.5405179991384186,,
19,False,10.966620683670044,0.016410143399948396,382.7705993652344,False,0.022322924161667146,258.4229431152344,False,0.021766932035202302,256.4898681640625,False,0.004135401273483552,316.1074523925781,330.22645568847656,0.5407573336005825,0.009581835294479646,357.3949890136719,316.35533294677737,0.5407573336005825,0.016469271207565583,294.0420227050781,289.17052764892577,0.5407573336005825,,
20,False,11.201072692871094,0.011949808622116365,335.2796325683594,False,0.012193949247116365,285.8280334472656,False,0.01582172634672574,298.0120544433594,True,0.004135401273483552,316.1074523925781,329.55412219819567,1.0,0.009581835294479646,357.3949890136719,318.30960228329616,1.0,0.01582172634672574,298.0120544433594,289.591552734375,1.0,,
21,False,11.504431962966919,0.02146461727690152,356.26568603515625,False,0.012165339017624177,285.8280334472656,False,0.014910967374557771,369.8009033203125,True,0.004135401273483552,316.1074523925781,328.942909934304,1.0,0.009581835294479646,357.3949890136719,320.0862107710405,1.0,0.014910967374557771,369.8009033203125,293.23743230646306,1.0,,
22,False,11.83918309211731,0.014483721280807771,380.9598693847656,False,0.02309730770658902,254.6446990966797,False,0.016329081083053865,382.2403869628906,True,0.004135401273483552,316.1074523925781,328.38484656292457,0.8482586168235099,0.009581835294479646,357.3949890136719,321.7083315641984,0.8482586168235099,0.016329081083053865,382.2403869628906,297.1071259871773,0.8482586168235099,,
23,True,11.842242956161499,,,,,,,,,,0.004135401273483552,316.1074523925781,327.87328847249347,0.014792077497856113,0.009581835294479646,357.3949890136719,323.1952756245931,0.014792077497856113,0.016329081083053865,382.2403869628906,300.6543451944987,0.014792077497856113,False,False
24,False,12.075786828994751,0.017526896024460115,301.9736633300781,False,0.021362574125046052,265.2989196777344,False,0.018879206205124177,296.6264953613281,True,0.004135401273483552,316.1074523925781,327.40265502929685,0.7438337357061655,0.009581835294479646,357.3949890136719,324.5632641601562,0.7438337357061655,0.018879206205124177,296.6264953613281,300.49323120117185,0.7438337357061655,,
25,False,12.328004837036133,0.009744913602585115,338.2533264160156,False,0.02012184383940152,258.12042236328125,False,0.016947062040085115,290.158935546875,True,0.004135401273483552,316.1074523925781,326.96822415865387,1.0,0.009581835294479646,357.3949890136719,325.8260228083684,1.0,0.016947062040085115,290.158935546875,300.09575829139123,1.0,,
26,False,12.574318647384644,0.018932611966842927,306.50836181640625,False,0.02210834744047574,288.4533386230469,False,0.02341011288237027,257.2015686035156,False,0.004135401273483552,316.1074523925781,326.5659733525029,0.472354172828545,0.009581835294479646,357.3949890136719,326.99524377893516,0.472354172828545,0.016947062040085115,290.158935546875,299.7277278193721,0.472354172828545,,
27,False,12.805507183074951,0.012725145841354646,344.6106872558594,False,0.00404957058500699,333.6907958984375,True,0.023515970731491365,258.71728515625,False,0.004135401273483552,316.1074523925781,326.19245474679127,0.46658697502423774,0.00404957058500699,333.6907958984375,327.23437064034596,0.46658697502423774,0.016947062040085115,290.158935546875,299.3859852382115,0.46658697502423774,,
